,id,price_area,area,zipcode_price,condition,max_price_buy,min_price_sell,gross_profit,lat,long,road,house_number,city,county,state,neighbourhood
16,3530510041,152.01612903225808,1240,178.42860978855347,4,188500.00000000003,433632.35697623075,245132.35697623072,47.3813,-122.322,9th Place South,24521,NA,King County,Washington,Zenith
17,1853000400,216.56050955414014,3140,244.2783502295297,4,680000.0,1098069.0329881972,418069.03298819717,47.7304,-122.082,Northeast 143rd Place,19166,NA,King County,Washington,
18,3134100116,231.5270935960591,2030,280.38632376692135,4,470000.0,709898.1327917326,239898.13279173255,47.6417,-122.109,173rd Court Northeast,3598,NA,King County,Washington,
19,921049315,150.75757575757575,1320,157.11341446884097,4,199000.0,461608.6380714714,262608.6380714714,47.3257,-122.296,South 308th Lane,2833,NA,King County,Washington,
20,4027700812,174.51737451737452,2590,225.14308528697757,4,452000.0,905732.1004584174,453732.10045841744,47.7689,-122.266,59th Place Northeast,19311,NA,King County,Washington,
21,1777500060,187.12765957446808,2820,299.0914758506965,4,527700.0,986163.9086072344,458463.90860723436,47.5707,-122.128,Southeast 42nd Place,15954,Bellevue,King County,Washington,
22,1432900240,127.32919254658385,1610,178.20436170206634,4,205000.0,563022.657041719,358022.65704171895,47.4563,-122.171,Southeast 164th Street,12759,NA,King County,Washington,
23,6071600370,246.30541871921181,2030,299.0914758506965,4,500000.0,709898.1327917326,209898.13279173255,47.5495,-122.174,125th Avenue Southeast,6026,Bellevue,King County,Washington,
24,8075400570,114.15929203539822,2260,154.21951345168029,4,258000.0,790329.9409405496,532329.9409405496,47.3887,-122.286,South 239th Street,3704,NA,King County,Washington,Midway
25,1081200350,181.8181818181818,1760,207.24234574313533,4,320000.0,615478.1840952953,295478.18409529526,47.4715,-122.118,166th Place Southeast,14538,NA,King County,Washington,
26,2617300160,207.92079207920793,2020,251.57228867661547,4,420000.0,706401.0976548275,286401.0976548275,47.4582,-122.023,239th Avenue Southeast,16037,NA,King County,Washington,Four Lakes
27,3261020370,243.65671641791045,2680,265.95224836863713,4,653000.0,937205.4166905632,284205.4166905632,47.7028,-122.231,Northeast 115th Way,8236,NA,King County,Washington,
28,9542800700,125.92592592592592,2160,148.91982870319703,4,272000.0,755359.5895714987,483359.5895714987,47.3026,-122.374,33rd Place Southwest,33406,NA,King County,Washington,
29,1687900520,259.8455598455598,2590,299.0914758506965,4,672999.9999999999,905732.1004584174,232732.10045841755,47.5619,-122.125,161st Avenue Southeast,4652,Bellevue,King County,Washington,
30,5437810320,138.43589743589743,1950,182.1062945278708,4,269950.0,681921.8516964919,411971.85169649194,47.1976,-121.999,Harmony Lane,811,NA,King County,Washington,
31,8123100045,197.47899159663865,2380,292.79588004303434,4,470000.0,832294.3625834106,362294.3625834106,47.5384,-122.376,35th Avenue Southwest,7000,Seattle,King County,Washington,High Point
32,825059270,267.72616136919316,4090,343.16245412587455,4,1095000.0,1430287.3709941804,335287.37099418044,47.6627,-122.188,114th Avenue Northeast,6206,NA,King County,Washington,
33,2287000060,373.3644859813084,2140,387.29252438969064,4,799000.0,748365.5192976885,-50634.4807023115,47.5505,-122.219,Southeast 58th Street,9053,NA,King County,Washington,
34,3663500060,183.4862385321101,2180,253.9714533761577,4,400000.0,762353.6598453089,362353.65984530887,47.7606,-122.336,Burke Avenue North,18008,NA,King County,Washington,Meridian Park
35,3456000310,338.7096774193548,2480,387.29252438969064,4,840000.0,867264.7139524615,27264.71395246149,47.5378,-122.219,Southeast 72nd Place,9061,NA,King County,Washington,
36,1922059282,146.3963963963964,2220,155.156220666326,4,325000.0,776341.8003929292,451341.80039292923,47.3758,-122.217,East Chicago Street,1322,NA,King County,Washington,
37,5152100060,107.02947845804988,4410,157.11341446884097,4,471999.99999999994,1542192.4953751431,1070192.4953751431,47.3376,-122.324,South 295th Place,806,NA,King County,Washington,Marine Hills
38,3021059276,124.37810945273633,2010,151.17409095919788,4,250000.0,702904.0625179224,452904.0625179224,47.2785,-122.213,M Place Southeast,3307,NA,King County,Washington,
39,3797001895,308.3333333333333,1560,369.7990484066329,4,480999.99999999994,545537.4813571936,64537.48135719361,47.6846,-122.345,North 77th Street,949,Seattle,King County,Washington,
40,3832710960,143.646408839779,1810,154.21951345168029,4,260000.0,632963.3597798207,372963.35977982066,47.3656,-122.278,South 263rd Street,4424,NA,King County,Washington,
41,7972601890,163.135593220339,2360,231.32695208167445,4,385000.0,825300.2923096004,440300.2923096004,47.5278,-122.345,8th Avenue Southwest,8414,Seattle,King County,Washington,Highland Park
42,5127001620,199.36708860759492,1580,207.24234574313533,4,315000.0,552531.5516310037,237531.55163100373,47.4756,-122.147,Southeast 142nd Street,14506,NA,King County,Washington,
43,1745100140,123.52941176470588,1700,157.11341446884097,4,210000.0,594495.9732738647,384495.9732738647,47.3271,-122.323,8th Place South,30621,NA,King County,Washington,Puget Sound Hills
44,1722059235,117.26923076923077,2600,161.10168036848606,4,304900.0,909229.1355953225,604329.1355953225,47.3954,-122.206,100th Avenue Southeast,23028,NA,King County,Washington,
45,5634500392,136.36363636363637,2420,225.14308528697757,4,330000.0,846282.503131031,516282.50313103094,47.7486,-122.23,Northeast 166th Street,8227,NA,King County,Washington,
46,6113400046,206.34867724867726,1890,226.19711961913,4,389999.0,660939.6408750614,270940.6408750614,47.4281,-122.343,Normandy Park Drive Southwest,19412,NA,King County,Washington,
47,6619910140,213.5593220338983,2950,265.95224836863713,4,630000.0,1031625.3653870005,401625.3653870005,47.7128,-122.223,89th Court Northeast,12519,NA,King County,Washington,
48,2747100024,296.9072164948454,1940,363.53553174214744,4,576000.0,678424.8165595868,102424.81655958679,47.6933,-122.393,28th Avenue Northwest,8811,Seattle,King County,Washington,North Beach
49,4330600350,143.1818181818182,2200,226.19711961913,4,315000.0,769347.730119119,454347.73011911905,47.476,-122.337,Southwest 142nd Street,209,NA,King County,Washington,Highline
50,5016001535,377.6041666666667,1920,438.63787203584127,4,725000.0,671430.7462857766,-53569.25371422339,47.6239,-122.298,27th Avenue East,443,Seattle,King County,Washington,
51,1959700550,360.9756097560976,2050,423.80515710280974,4,740000.0,716892.2030655427,-23107.796934457263,47.644,-122.319,11th Avenue East,2625,Seattle,King County,Washington,Portage Bay
52,2946001550,124.55357142857143,2240,178.42860978855347,4,279000.0,783335.8706667394,504335.8706667394,47.42,-122.323,9th Avenue South,20238,NA,King County,Washington,North Hill
53,3126069068,189.453125,2560,280.38632376692135,4,485000.0,895240.9950477022,410240.9950477022,47.6945,-122.093,Avondale Road Northeast,10614,NA,King County,Washington,
54,7004200060,242.8235294117647,1275,277.84968055579196,4,309600.0,445871.97995539854,136271.97995539854,47.3796,-122.49,Southwest 250th Way,12198,NA,King County,Washington,
55,808000070,148.63309352517985,1390,155.156220666326,4,206599.99999999997,486087.88402980706,279487.88402980706,47.3581,-122.173,Southeast 270th Street,12613,NA,King County,Washington,Seven Oaks East
56,616000140,165.78947368421052,1900,226.19711961913,4,315000.0,664436.6760119664,349436.6760119664,47.4147,-122.337,2nd Place Southwest,20853,NA,King County,Washington,
57,2201500030,240.0,1750,299.0914758506965,4,420000.0,611981.1489583901,191981.1489583901,47.5759,-122.137,Southeast 38th Place,15344,Bellevue,King County,Washington,
58,1072010350,137.68115942028984,2760,207.24234574313533,4,380000.0,965181.6977858039,585181.6977858039,47.4769,-122.141,149th Place Southeast,14024,NA,King County,Washington,Willowbrook
59,7855801090,261.5131578947368,3040,299.0914758506965,4,794999.9999999999,1063098.6816191464,268098.6816191465,47.5651,-122.164,132nd Avenue Southeast,NA,Bellevue,King County,Washington,
60,8651600160,318.32669322709165,2510,387.29252438969064,4,799000.0,877755.8193631767,78755.8193631767,47.5483,-122.226,85th Place Southeast,6192,NA,King County,Washington,
61,8857320070,247.4747474747475,1980,301.7177311724625,4,490000.0,692412.9571072072,202412.95710720716,47.6109,-122.114,Northeast 2nd Place,17071,Bellevue,King County,Washington,
62,1923000030,291.1458333333333,3840,387.29252438969064,4,1118000.0,1342861.4925715532,224861.49257155322,47.5634,-122.213,Southeast 46th Street,9360,NA,King County,Washington,
63,7375300160,194.85294117647058,2720,301.7177311724625,4,530000.0,951193.5572381836,421193.55723818357,47.5976,-122.118,Southeast 15th Street,16646,Bellevue,King County,Washington,
64,2473251090,176.40522875816993,1530,178.20436170206634,4,269900.0,535046.3759464782,265146.3759464782,47.4556,-122.157,Southeast Fairwood Boulevard,13805,NA,King County,Washington,Fairwood West
65,3420069065,96.51474530831099,3730,182.1062945278708,4,360000.0,1304394.1060655974,944394.1060655974,47.1775,-122.022,Southeast 472nd Street,23849,NA,King County,Washington,Glacier Vista
66,1774220160,211.68060200668896,2990,244.2783502295297,4,632925.0,1045613.5059346209,412688.50593462086,47.7718,-122.095,Northeast 200th Street,18261,NA,King County,Washington,
67,3426059070,195.8762886597938,2910,280.38632376692135,4,570000.0,1017637.2248393802,447637.22483938024,47.7015,-122.164,Northeast 112th Place,13221,NA,King County,Washington,
68,1442860160,166.66666666666666,2280,178.20436170206634,4,380000.0,797324.0112143598,417324.0112143598,47.4334,-122.161,Southeast 189th Place,13518,NA,King County,Washington,Boulevard Place
69,936000060,141.55251141552512,2190,226.19711961913,4,310000.0,765850.694982214,455850.694982214,47.4546,-122.337,3rd Avenue Southwest,16420,NA,King County,Washington,Five Corners
70,2525300030,165.71428571428572,1400,173.72594528431705,4,232000.0,489584.91916671215,257584.91916671215,47.362,-122.029,Southeast 267th Place,23404,NA,King County,Washington,Fernwood Estates
71,1324059104,292.83898305084745,2360,299.0914758506965,4,691100.0,825300.2923096004,134200.2923096004,47.5698,-122.121,Southeast 42nd Place,16417,Bellevue,King County,Washington,
72,1843100340,135.40856031128405,2570,164.37751700790727,4,348000.0,898738.0301846073,550738.0301846073,47.3759,-122.125,Southeast 252nd Place,16138,NA,King County,Washington,Crofton Heights
73,1723049270,150.0,2270,175.3725318004723,4,340500.0,793826.9760774546,453326.97607745463,47.4857,-122.318,12th Avenue South,13120,NA,King County,Washington,
74,6189200125,284.26421404682276,2990,314.92923109821106,4,849950.0,1045613.5059346209,195663.50593462086,47.6344,-122.174,Northeast 27th Street,12430,Bellevue,King County,Washington,
75,8732131090,136.57407407407408,2160,148.91982870319703,4,295000.0,755359.5895714987,460359.5895714987,47.3078,-122.378,Southwest 328th Place,3520,NA,King County,Washington,Twin Lakes
76,3760000030,237.5709219858156,2820,265.95224836863713,4,669950.0,986163.9086072344,316213.90860723436,47.7081,-122.215,Northeast 120th Place,9394,NA,King County,Washington,
77,7806300030,97.07792207792208,3080,154.21951345168029,4,299000.0,1077086.8221667667,778086.8221667667,47.3841,-122.284,South 243rd Street,3805,NA,King County,Washington,
78,8906200070,167.66467065868264,1670,180.40249146722007,4,280000.0,584004.8678631495,304004.8678631495,47.4404,-122.191,Southeast 181st Street,11217,NA,King County,Washington,
79,5113400431,399.35064935064935,1540,432.2569983896907,4,615000.0,538543.4110833834,-76456.58891661663,47.6454,-122.373,13th Avenue West,2814,Seattle,King County,Washington,Interbay
80,8121200810,240.74074074074073,2430,280.38632376692135,4,585000.0,849779.5382679361,264779.5382679361,47.7206,-122.11,Northeast 134th Place,17214,NA,King County,Washington,
81,7322910030,248.29931972789115,4410,268.40018565787614,4,1095000.0,1542192.4953751431,447192.49537514313,47.6554,-122.018,Northeast 53rd Place,5330,NA,King County,Washington,
82,3340401555,139.0532544378698,1690,180.40249146722007,4,234999.99999999997,590998.9381369597,355998.9381369597,47.4667,-122.215,South 15th Street,222,NA,King County,Washington,Talbot Hill
83,2008200060,158.41584158415841,1010,178.42860978855347,4,160000.0,353200.54882741376,193200.54882741376,47.4097,-122.316,13th Avenue South,21416,NA,King County,Washington,Des Moines Creek
84,1521069070,196.15384615384616,1040,210.0953556830966,4,204000.0,363691.654238129,159691.65423812898,47.3105,-122.021,Lynch Lane,32451,NA,King County,Washington,
85,1310900260,137.45172413793102,2320,154.21951345168029,4,318888.0,811312.15176198,492424.15176198,47.3644,-122.28,Somerset Lane,4101,NA,King County,Washington,Cambridge East
86,2473420140,136.95652173913044,2300,178.20436170206634,4,315000.0,804318.08148817,489318.08148816996,47.4518,-122.16,135th Place Southeast,16817,NA,King County,Washington,
87,5000500055,162.87878787878788,1320,175.3725318004723,4,215000.0,461608.6380714714,246608.63807147142,47.4949,-122.3,South 121st Street,2460,NA,King County,Washington,
88,4099500935,323.39449541284404,2180,387.29252438969064,4,705000.0,762353.6598453089,57353.659845308866,47.5885,-122.248,West Mercer Way,2464,NA,King County,Washington,McGilvra
89,4376700570,272.72727272727275,2750,280.38632376692135,4,750000.0,961684.6626488988,211684.66264889878,47.6368,-122.097,Northeast 31st Street,18196,NA,King County,Washington,
90,1714900060,172.65625,2560,224.44328553228075,4,442000.0,895240.9950477022,453240.9950477022,47.5502,-122.311,17th Avenue South,5830,Seattle,King County,Washington,Van Asselt
91,8945200860,130.05780346820808,1384,148.91982870319703,4,179999.99999999997,483989.662947664,303989.66294766404,47.3062,-122.371,29th Avenue Southwest,33011,NA,King County,Washington,Twin Lakes
92,7511800070,145.05494505494505,1820,157.11341446884097,4,264000.0,636460.3949167258,372460.3949167258,47.3366,-122.306,South 296th Street,2113,NA,King County,Washington,Marine Hills
93,2998800125,342.7230046948357,2130,348.550974198624,4,730000.0000000001,744868.4841607835,14868.484160783351,47.573,-122.409,60th Avenue Southwest,3426,Seattle,King County,Washington,Alki
94,3620069036,145.6043956043956,1820,182.1062945278708,4,265000.0,636460.3949167258,371460.3949167258,47.1803,-121.974,276th Avenue Southeast,46901,NA,King County,Washington,
95,8651100140,381.25,3200,387.29252438969064,4,1220000.0,1119051.2438096276,-100948.7561903724,47.5494,-122.216,Southeast 60th Street,9246,NA,King County,Washington,
96,2321300390,347.5935828877005,1870,376.54634504868625,4,650000.0,653945.5706012512,3945.570601251209,47.6372,-122.395,Condon Way West,2018,Seattle,King County,Washington,
97,461001615,343.75,1760,363.53553174214744,4,605000.0,615478.1840952953,10478.184095295263,47.682,-122.372,12th Avenue Northwest,7317,Seattle,King County,Washington,Whittier Heights
98,9485951170,147.69230769230768,3250,164.37751700790727,4,479999.99999999994,1136536.4194941532,656536.4194941532,47.3496,-122.094,185th Place Southeast,28030,NA,King County,Washington,Winterwood Estates
99,4140090320,159.0909090909091,3740,225.14308528697757,4,595000.0,1307891.1412025024,712891.1412025024,47.7679,-122.261,Kenlake Place Northeast,19204,NA,King County,Washington,
100,2324039036,277.90697674418607,2150,292.79588004303434,4,597500.0,751862.5544345937,154362.55443459365,47.555,-122.379,37th Avenue Southwest,5217,Seattle,King County,Washington,High Point
101,5151600340,148.71794871794873,1950,157.11341446884097,4,290000.0,681921.8516964919,391921.85169649194,47.336,-122.319,South 299th Place,1020,NA,King County,Washington,Marine Hills
102,2710600045,296.7741935483871,1550,354.14426149917773,4,459999.99999999994,542040.4462202884,82040.44622028846,47.6759,-122.286,39th Avenue Northeast,6503,Seattle,King County,Washington,
103,5101405124,255.88235294117646,1700,354.14426149917773,4,435000.0,594495.9732738647,159495.9732738647,47.6988,-122.319,Northeast 96th Street,824,Seattle,King County,Washington,
104,3438500486,173.52941176470588,2380,231.32695208167445,4,413000.0,832294.3625834106,419294.3625834106,47.5536,-122.359,Southwest Brandon Street,1911,Seattle,King County,Washington,
105,6055000310,144.8087431693989,3660,182.1062945278708,4,530000.0,1279914.8601072617,749914.8601072617,47.2413,-121.972,278th Avenue Southeast,40121,NA,King County,Washington,
106,3530490070,145.83333333333334,1440,178.42860978855347,4,210000.0,503573.05971433246,293573.05971433246,47.3825,-122.319,12th Avenue South,24429,NA,King County,Washington,Zenith
107,4021100045,231.0924369747899,2380,246.51903334038647,4,550000.0,832294.3625834106,282294.3625834106,47.7591,-122.28,47th Place Northeast,17878,NA,King County,Washington,
108,2591820310,176.32850241545893,2070,178.20436170206634,4,365000.0,723886.2733393529,358886.2733393529,47.4388,-122.162,Southeast 183rd Street,13408,NA,King County,Washington,Forest Estates
109,3626039299,307.85340314136124,1910,363.53553174214744,4,588000.0,667933.7111488716,79933.71114887157,47.7004,-122.368,Northwest 97th Street,848,Seattle,King County,Washington,Crown Hill
110,6613000140,382.3529411764706,3400,405.15436773943867,4,1300000.0,1188991.9465477294,-111008.05345227057,47.6585,-122.273,Northeast 41st Street,5018,Seattle,King County,Washington,Laurelhurst
111,9277200111,323.3830845771144,2010,348.550974198624,4,650000.0,702904.0625179224,52904.06251792237,47.5793,-122.402,Southwest Lander Street,5348,Seattle,King County,Washington,Alki
112,579003610,361.8881118881119,1430,363.53553174214744,4,517500.0,500076.02457742736,-17423.975422572636,47.6988,-122.387,Northwest 96th Street,2335,Seattle,King County,Washington,North Beach
113,9323600060,251.33333333333334,3750,299.0914758506965,4,942500.0,1311388.1763394075,368888.17633940745,47.5511,-122.157,Southeast 58th Place,NA,Bellevue,King County,Washington,
114,770000045,143.32155477031802,2830,262.6216522949729,4,405600.0,989660.9437441395,584060.9437441395,47.5132,-122.262,57th Avenue South,9800,Seattle,King County,Washington,Rainier Beach
115,8146100270,330.9236947791165,2490,475.4356109509919,4,824000.0,870761.7490893665,46761.74908936652,47.6051,-122.195,109th Avenue Southeast,423,Bellevue,King County,Washington,
116,4040800810,210.0,2000,301.7177311724625,4,420000.0,699407.0273810173,279407.02738101734,47.6188,-122.114,170th Place Northeast,931,Bellevue,King County,Washington,
117,5693500270,357.5,2000,369.7990484066329,4,715000.0,699407.0273810173,-15592.972618982662,47.6583,-122.351,Evanston Avenue North,4222,Seattle,King County,Washington,
118,686500030,180.05540166204986,3610,301.7177311724625,4,650000.0,1262429.6844227363,612429.6844227363,47.6261,-122.125,161st Avenue Northeast,1786,Bellevue,King County,Washington,
119,8731901940,112.95336787564767,1930,148.91982870319703,4,218000.0,674927.7814226818,456927.78142268176,47.3109,-122.376,Southwest 325th Street,3245,NA,King County,Washington,Twin Lakes
120,2423069155,220.0956937799043,2090,251.57228867661547,4,460000.0,730880.3436131631,270880.3436131631,47.4691,-121.993,260th Avenue Southeast,14808,NA,King County,Washington,
121,2329500260,119.84536082474227,1940,157.11341446884097,4,232500.0,678424.8165595868,445924.8165595868,47.3289,-122.327,South 305th Street,450,NA,King County,Washington,Puget Sound Hills
122,2608300030,226.77777777777777,1800,231.32695208167445,4,408200.0,629466.3246429156,221266.32464291563,47.5293,-122.363,24th Avenue Southwest,8124,Seattle,King County,Washington,
123,259600260,276.0,1250,301.7177311724625,4,345000.0,437129.39211313584,92129.39211313584,47.6329,-122.121,165th Avenue Northeast,2619,Bellevue,King County,Washington,
124,726049190,158.83977900552486,1810,253.9714533761577,4,287500.0,632963.3597798207,345463.35977982066,47.7493,-122.351,Fremont Avenue North,16569,NA,King County,Washington,
125,726049190,158.83977900552486,1810,253.9714533761577,4,287500.0,632963.3597798207,345463.35977982066,47.7493,-122.351,Fremont Avenue North,16569,NA,King County,Washington,
126,726049190,238.12154696132598,1810,253.9714533761577,4,431000.0,632963.3597798207,201963.35977982066,47.7493,-122.351,Fremont Avenue North,16569,NA,King County,Washington,
127,726049190,238.12154696132598,1810,253.9714533761577,4,431000.0,632963.3597798207,201963.35977982066,47.7493,-122.351,Fremont Avenue North,16569,NA,King County,Washington,
128,8731951670,142.10526315789474,1900,148.91982870319703,4,270000.0,664436.6760119664,394436.6760119664,47.3102,-122.381,39th Place Southwest,32624,NA,King County,Washington,Twin Lakes
129,6777800160,113.54581673306772,2510,154.21951345168029,4,285000.0,877755.8193631767,592755.8193631767,47.3748,-122.276,45th Avenue South,25302,NA,King County,Washington,
130,9429500045,264.6604938271605,1620,299.0914758506965,4,428750.0,566519.692178624,137769.69217862398,47.5719,-122.119,Southeast Newport Way,NA,Bellevue,King County,Washington,
131,9510900270,122.70531400966183,2070,148.91982870319703,4,254000.0,723886.2733393529,469886.2733393529,47.3085,-122.376,Southwest 327th Place,3330,NA,King County,Washington,
132,2296500036,151.00671140939596,2980,215.53612655026214,4,449999.99999999994,1042116.4707977158,592116.4707977159,47.5152,-122.197,Jones Avenue Northeast,2623,NA,King County,Washington,Kennydale
133,1865820370,144.8695652173913,1150,164.37751700790727,4,166600.0,402159.040744085,235559.04074408498,47.3729,-122.115,Southeast 255th Place,16979,NA,King County,Washington,
134,3327020400,133.0270642201835,2180,155.81424006323968,4,289999.0,762353.6598453089,472354.65984530887,47.3122,-122.191,Southeast 323rd Street,11231,NA,King County,Washington,
135,2110200036,291.6666666666667,2400,367.5141768402908,4,700000.0,839288.4328572208,139288.43285722076,47.6094,-122.291,32nd Avenue,804,Seattle,King County,Washington,
136,9465910070,247.42268041237114,1940,247.51201250344914,4,480000.0,678424.8165595868,198424.8165595868,47.7438,-122.172,Northeast 160th Place,12505,NA,King County,Washington,
137,8566100200,310.126582278481,3160,387.29252438969064,4,980000.0,1105063.1032620075,125063.10326200747,47.5368,-122.216,92nd Place Southeast,7406,NA,King County,Washington,
138,3275780030,333.3333333333333,2190,343.16245412587455,4,730000.0,765850.694982214,35850.694982214016,47.6916,-122.188,Northeast 103rd Street,11411,NA,King County,Washington,
139,7625701891,310.7142857142857,1400,337.21803422469395,4,435000.0,489584.91916671215,54584.91916671215,47.5499,-122.391,46th Avenue Southwest,5910,Seattle,King County,Washington,Morgan Junction
140,2115200125,182.85714285714286,2100,231.32695208167445,4,384000.0,734377.3787500681,350377.37875006814,47.5353,-122.349,11th Avenue Southwest,7500,Seattle,King County,Washington,Highland Park
141,103000116,311.59420289855075,2070,354.14426149917773,4,645000.0,723886.2733393529,78886.27333935292,47.6733,-122.301,25th Avenue Northeast,6035,Seattle,King County,Washington,Ravenna
142,3456000160,336.1344537815126,2380,387.29252438969064,4,800000.0,832294.3625834106,32294.362583410577,47.5371,-122.218,91st Avenue Southeast,7238,NA,King County,Washington,
143,5412200270,155.05376344086022,1860,161.10168036848606,4,288400.0,650448.5354643461,362048.53546434606,47.4046,-122.186,117th Avenue Southeast,22027,NA,King County,Washington,Hillshire Terrace
144,4441300240,327.8688524590164,3660,363.53553174214744,4,1200000.0,1279914.8601072617,79914.86010726169,47.6972,-122.4,View Avenue Northwest,9239,Seattle,King County,Washington,North Beach
145,6116500341,194.88372093023256,2150,226.19711961913,4,419000.0,751862.5544345937,332862.55443459365,47.4522,-122.355,16th Avenue Southwest,16804,NA,King County,Washington,Gregory Heights
146,252000400,153.8095238095238,2100,164.37751700790727,4,323000.0,734377.3787500681,411377.37875006814,47.3622,-122.059,212th Avenue Southeast,26710,NA,King County,Washington,
147,7555210340,318.85593220338984,2360,343.16245412587455,4,752500.0,825300.2923096004,72800.2923096004,47.6495,-122.198,106th Place Northeast,4316,NA,King County,Washington,
148,1455100116,263.2450331125828,1510,282.6698862086409,4,397500.00000000006,528052.305672668,130552.30567266798,47.7289,-122.283,42nd Avenue Northeast,13722,Seattle,King County,Washington,Cedar Park
149,5469700570,158.08080808080808,2970,161.10168036848606,4,469500.0,1038619.4356608107,569119.4356608107,47.3908,-122.173,Southeast 235th Street,12605,NA,King County,Washington,
150,8899200570,147.3684210526316,1900,180.40249146722007,4,280000.0,664436.6760119664,384436.6760119664,47.4545,-122.208,South 28th Court,811,NA,King County,Washington,Victoria Park
151,1777500160,233.87622149837134,3070,299.0914758506965,4,718000.0,1073589.7870298615,355589.7870298615,47.5702,-122.128,Southeast 42nd Place,15955,Bellevue,King County,Washington,
152,2695600505,266.0,1500,292.79588004303434,4,399000.0,524555.270535763,125555.270535763,47.5303,-122.378,Southwest Elmgrove Street,3527,Seattle,King County,Washington,High Point
153,4100000140,310.6796116504854,2060,314.92923109821106,4,640000.0,720389.2382024479,80389.23820244789,47.5867,-122.174,Southeast 26th Place,12419,Bellevue,King County,Washington,
154,3226049270,270.8333333333333,2160,354.14426149917773,4,585000.0,755359.5895714987,170359.58957149868,47.6948,-122.328,1st Avenue Northeast,9024,Seattle,King County,Washington,Licton Springs
155,7437100570,156.4516129032258,1860,173.72594528431705,4,291000.0,650448.5354643461,359448.53546434606,47.3492,-122.03,234th Avenue Southeast,28127,NA,King County,Washington,Rosewood Parke
156,4310700570,304.67391304347825,920,369.7990484066329,4,280300.0,321727.23259526794,41427.23259526794,47.7008,-122.338,Densmore Avenue North,9741,Seattle,King County,Washington,Licton Springs
157,7214820030,235.14851485148515,2020,247.51201250344914,4,475000.0,706401.0976548275,231401.09765482752,47.7571,-122.145,Northeast 179th Street,14613,NA,King County,Washington,
158,2224700136,242.30769230769232,1300,253.9714533761577,4,315000.0,454614.56779766124,139614.56779766124,47.7612,-122.332,Corliss Avenue North,18234,NA,King County,Washington,Meridian Park
159,2424059035,238.50931677018633,3220,299.0914758506965,4,768000.0,1126045.314083438,358045.3140834379,47.5468,-122.109,173rd Avenue Southeast,NA,Bellevue,King County,Washington,
160,16000435,136.5625,1600,151.17409095919788,4,218500.0,559525.6219048138,341025.6219048138,47.3098,-122.21,Pike Street Northeast,127,NA,King County,Washington,
